Account Number,Account Balance,Transaction Date,Transaction Description,Debit Amount,Credit Amount
12345,-$2300.00,12-11-2025,Check # 1111,,$300.00
12345,-$2300.00,12-12-2025,Check # 1211,$100.00,
12345,-$2300.00,01-10-2026,Funds Transfer Sent,$1000.00,
12345,-$2300.00,01-14-2026,Funds Transfer Sent,$100.00,
12345,-$2300.00,01-14-2026,Funds Transfer Sent,$1000.00,
12345,-$2300.00,01-15-2026,Funds Transfer Sent,$0.00,
12345,-$2300.00,01-17-2026,Bill Payment to Bank of America Visa,$1000.00,
12567,-$34900.00,01-25-2026,Bill Payment to John,$5000.00,
12567,-$34900.00,01-25-2026,Bill Payment to John,$5000.00,
12567,-$34900.00,01-25-2026,Bill Payment to John,$5000.00,
12567,-$34900.00,01-25-2026,Bill Payment to John,$5000.00,
12567,-$34900.00,01-25-2026,Bill Payment to John,$5000.00,
12567,-$34900.00,01-25-2026,Bill Payment to John,$5000.00,
12567,-$34900.00,01-25-2026,Bill Payment to John,$5000.00,
12678,-$100.00,01-10-2026,Funds Transfer Sent,$100.00,
12678,-$100.00,01-17-2026,Funds Transfer Sent,$100.00,
12789,$100.00,01-10-2026,Funds Transfer Received,,$100.00
12900,$0.00,01-10-2026,Funds Transfer Received,,$100.00
12900,$0.00,01-10-2026,Funds Transfer Sent,$100.00,
13011,$100.00,01-10-2026,Funds Transfer Received,,$100.00
13122,$1100.00,01-14-2026,Funds Transfer Received,,$100.00
13122,$1100.00,01-14-2026,Funds Transfer Received,,$1000.00
13122,$1100.00,01-15-2026,Funds Transfer Received,$0.00,
13233,$100.00,01-17-2026,Funds Transfer Received,$100.00,
13344,$1231.10,01-22-2026,Funds Transfer Sent,$1000.00,
13344,$1231.10,01-22-2026,Funds Transfer Received,$1000.00,
54321,$1351.12,01-10-2026,Funds Transfer Received,,$1000.00
54321,$1351.12,01-10-2026,Funds Transfer Sent,$100.00,
